ts_gps,x,y,z,intensity
1648200142997003753,0.09932838419088774,0.6815859495648847,0.5380791349410093,168
1648200142997003804,0.3075130021778758,0.935038854822683,0.13505868084353823,151
1648200142997003855,0.14412850765550445,0.7723373234936776,0.9346883332271183,243
1648200142997003906,0.728250126191044,0.018029280411216875,0.6476816283246608,109
1648200142997003957,0.861845457807357,0.9912905436039356,0.6257609159694342,0
1648200142997004008,0.896516323106282,0.14039708876014134,0.7243215517716107,55
1648200142997004059,0.08019915783416709,0.2565549195750051,0.9984431510974786,29
1648200142997004110,0.1545069105034551,0.682566158924845,0.25966737801639006,3
1648200142997004161,0.6247936299673804,0.42589876205662414,0.06318377447862389,139
1648200142997004212,0.9449881277824759,0.8577150628103392,0.507974191112595,239
