ts_gps,x,y,z,intensity
1648200141997003753,0.44384897872640905,0.7005339905889999,0.08872135004817872,224
1648200141997003804,0.6170868208866903,0.47830666127449806,0.5981770790310891,29
1648200141997003855,0.4371666520492533,0.25717799528001595,0.09701118974210154,117
1648200141997003906,0.916907849898628,0.8872204981040019,0.9162770187054511,76
1648200141997003957,0.2262904468737571,0.9719495942559856,0.17652605104861208,153
1648200141997004008,0.19608389146010385,0.04560257264330547,0.5070363727738012,142
1648200141997004059,0.24580358721718243,0.8964521325456478,0.6134571939513174,142
1648200141997004110,0.1718488696277909,0.7737304828132475,0.20641187787946824,217
1648200141997004161,0.7481153478488201,0.7624304682154138,0.09261482425674616,147
1648200141997004212,0.8806623728383536,0.43102565668896786,0.5356128007700088,138
