ts_gps,x,y,z,intensity
1648200141997003753,0.16925702395744524,0.8701966398899512,0.7076417706001298,89
1648200141997003804,0.6491307344044656,0.2447065571724708,0.5523283260358949,123
1648200141997003855,0.0901439761087095,0.32037966873694923,0.13056657433142893,148
1648200141997003906,0.8486258622197762,0.07250266658923454,0.272907747631455,150
1648200141997003957,0.6542832203461338,0.6802501992480174,0.5569283990687334,236
1648200141997004008,0.13125474385146874,0.49713009068661607,0.2238864767134896,23
1648200141997004059,0.631678229653179,0.15682857965690689,0.30603663940206893,33
1648200141997004110,0.549307347200735,0.028211879380937055,0.9393084947278412,13
1648200141997004161,0.40861032324715274,0.04449813284825488,0.20086343503089354,96
1648200141997004212,0.6751154943939025,0.2759025197084728,0.7752310552875424,128
