ts_gps,x,y,z,intensity
1648200142997003753,0.7745245795551314,0.9425108367394799,0.5916938438805058,157
1648200142997003804,0.9177380634379371,0.8982183705032714,0.29396412337256905,86
1648200142997003855,0.5071475815264267,0.09708355501907473,0.9468475016468247,200
1648200142997003906,0.48913241465314505,0.7863757804621172,0.05426976252457805,101
1648200142997003957,0.9612964128692046,0.5090761885650098,0.41572023432674365,30
1648200142997004008,0.7247472780168827,0.21356578203491228,0.19926767895681574,93
1648200142997004059,0.5152414815704016,0.10831785444610564,0.840459258834045,71
1648200142997004110,0.6653016855709597,0.9718276240778231,0.926996100224874,184
1648200142997004161,0.6207368499862481,0.19583339784011833,0.5714804592894024,165
1648200142997004212,0.20272256323601534,0.11133714545222062,0.03479903287755526,38
